,OCID,Category,Predicted,kjc9 Notes,kjc9 Comment,CleanText
9523,ocds-591adf-3045742924,Governing law,stabilization,,,the laws of the republic of indonesia shall apply to this contract no term or provision of this contract including the agreement of the parties to submit to arbitration shall prevent or limit the government from exercising its inalienable rights 
9641,ocds-591adf-3014563630,Income tax: rate,stabilization,,,the corporate income tax shall be levied in accordance with the income tax law as may be amended from time to time but always subject to arts numericvalue and numericvalue which discuss how the parties will deal with any subsequent changes of laws or introduction of new taxes 
9737,ocds-591adf-3014822399,Income tax: exemptions,stabilization,,,operator is subject to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes operator may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge 
9839,ocds-591adf-2676173933,Income tax: rate,stabilization,,,the income tax rate will be 35 in accordance with the petroleum income tax law numericvalue
9889,ocds-591adf-2547744131,Income tax: rate,stabilization,,,income tax issues related to hydrocarbons operations are governed by the income tax law of afghanistan as amended or replaced and in force from time to time at the effective date the prevailing income tax rate in afghanistan is 20 
9977,ocds-591adf-2561344209,Income tax: rate,stabilization,,,the corporate income tax shall be levied in accordance with the income tax law as may be amended from time to time but always subject to arts numericvalue and numericvalue which discuss how the parties will deal with any subsequent changes of laws or introduction of new taxes 
10019,ocds-591adf-2786162362,Other - operational,stabilization,,,"sonangol and the company group may sign a petroleum operations procedure document which will regulate and interpret the contents of this contract 
any such document would be agreed between the parties and would be in accordance with the provisions of this agreement and the law "
10040,ocds-591adf-2740538018,Income tax: rate,stabilization,,,dwm petroleum ag s tax fee and payments in respect with petroleum operations shall be regulated through any applicable mongolian laws or any other legal acts whether now existing or later enacted but dwm petroleum ag shall not be obliged to pay any other payments not regulated by any applicable mongolian laws and this contract 
10086,ocds-591adf-2807774921,Governing law,stabilization,,,any arbitrage tribunal constituted pursuant to this contract shall apply the provisions of this contract as supplemented and interpreted by general principles of the laws of georgia and england as are in force on the effective date 
10175,ocds-591adf-2676416271,Work and investment commitments,stabilization,,,canmex holdings bermuda ii commits to undertake a program of exploration work in the contract area as minimum work as set out in annex c during each exploration period the work program can be amended and changed with the approval of the government and must be fulfilled even if the expenses are in excess of the minimum financial obligations if canmex holdings bermuda ii expends less than the minimum amount required it shall pay an amount equal to the difference of the minimum amount and the amount expended to the government canmex holdings bermuda ii in consultation with the work program and budget sub committee should prepare a work program and budget for further exploration and development for the for the remainder of the year in which the commercial discovery of oil is made as well as an annual production schedule work program and budget for further exploration and development for the succeeding financial year the operating committee shall review these and giver appropriate directions to canmex holdings bermuda ii canmex holdings bermuda ii should consider the changes proposed and make the changes to the proposals thereafter the work program and budget is to be presented to the government for final approval 
10441,ocds-591adf-0452027420,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract hawler energy a t petroleum company a t petroleum and oil search iraq oil search their affiliates and any subcontractors shall be exempted from all taxes as a result of their income assets and activities under the contract the government shall indemnify hawler energy a t petroleum and oil search upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
10459,ocds-591adf-0452027420,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to hawler energy a t petroleum company a t petroleum and oil search iraq oil search shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1999 as amended by law no numericvalue of numericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 1numericvalue the parties acknowledge and agree that at the effective date the corporate income tax rate is 1numericvalue for all net taxable profits 
the parties agree that the hawler energy a t petroleum and oil search s corporate income tax shall be calculated on their net taxable profit each under the contract "
10587,ocds-591adf-0648943319,Water use,stabilization,,,the concessionaire has the right to in accordance with the provisions of the work program and applicable law to drill for water and impound surface waters and to establish systems for the supply of water for the petroleum operations and for consumption by its employees and its subcontractors 
10607,ocds-591adf-0648943319,Income tax: exemptions,stabilization,,,during the term of this contract the concessionaire and its subcontractors are entitled to the rights of tax and customs incentives in terms of law no 3 2001 of numericvalue february as defined in the code of fiscal benefits cfb approved by decree no 16 2002 of numericvalue june and exemptions specified by the contract 
10608,ocds-591adf-0648943319,Income tax: rate,stabilization,,,the corporate income tax is levied in accordance with decree no 21 2002 of numericvalue july and subject to articles numericvalue if a tax is introduced after the effective date of the contract which has an adverse effect of a material nature on the economic value derived from the petroleum operations the parties are to meet and renegotiate so that the same economic benefits are obtained and numericvalue cost petroleum and profit petroleum calculations shall be done each calendar year on an accumulative basis and payable by the concessionaire the following provisions apply to corporate income tax levied in respect of income derived from petroleum operations 
10647,ocds-591adf-0585175110,Other - operational,stabilization,,,the parties agree that this contract will be periodically reviewed once every five years from the commencement of production for the purpose of good faith discussions and if any modifications to the contract are necessary due to substantial changes in circumstances which may have occurred during the previous five years 
10676,ocds-591adf-0569891533,Governing law,stabilization,,,the validity interpretation and implementation of the contract shall be governed by the laws of the people s republic of china failing the relevant provisions of the laws of the people s republic of china for the interpretation or implementation of the contract the principles of the applicable laws widely used in petroleum resource countries acceptable to the parties shall be applicable 
10841,ocds-591adf-0096337208,Income tax: exemptions,stabilization,,,"
the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract talisman its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the government shall indemnify talisman upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
10860,ocds-591adf-0096337208,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to talisman shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1999 as has been amended by law no numericvalue of numericvalue as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 1numericvalue for all net taxable profits 
the parties agree that the talisman s corporate income tax shall be calculated on its net taxable profit under the contract "
10892,ocds-591adf-0046337559,Income tax: rate,stabilization,,,bhp billiton world exploration shall be subject to liberian income tax law of general application except that notwithstanding any provisions of such laws the rate of tax applicable to all the taxable income of the bhp billiton world exploration shall be 30 
10922,ocds-591adf-0014595575,Income tax: exemptions,stabilization,,,sonangol will consider any amendments or revisions to this contract that will avoid the international double taxation of contractor group s income so long as those revisions do not impact on sonangol or angola s economic benefits resulting from this contract
10953,ocds-591adf-0056582197,Work and investment commitments,stabilization,,,"the contractor shall prepare and submit to the director through the regional director concerned a work program and corresponding budget for the contract area stating its proposed mining operations and expenditures for the particular period sec numericvalue
rapu rapu minerals inc is required to strictly comply with the approved exploration work program and budget set out in annex c the expenditure in any contract year may be prorated in case of early termination or if rapu rapu minerals inc under or overspends in any given contract year rapu rapu minerals inc is required to spend a total of p36 483 431 on the exploration work program with p14 840 306 being spent in the first contract year and p21 643 125 in the second contract year and p3 648 343 10 being spent on the environmental work program rapu rapu minerals inc may make such changes to the work program as required by changing circumstances as long as it does not change the general objective of the work program any changes that entail a variance of more than 20 shall be subject to director approval rapu rapu minerals inc is obliged to 1 exclusively conduct mining operations within the contract area in accordance with the provisions of relevant legislation 2 construct and operate any facilities specified under the mineral agreement of approved work program 3 determine the exploration mining and treatment process to be utilized in the mining operations and 4 extract remove use and dispose of any tailings as authorized by an approved work program "
11050,ocds-591adf-0290550345,State participation,stabilization,,,burundi has a non dilutable 15 participation share in smem burundi will hold numericvalue seats on the smem board of directors in addition to this 15 share burundi or members of the burundi economic community can acquire up to 34 additional share in smem burundi will be represented by the person assuming the role of vice president and 40 of the management team must be composed of nationals where smem shares are transferred burundi and burundian economic operators have a pre emption right to onerous purchase of their shares for up to a numericvalue stake in the smem pre emption rights must be exercised within numericvalue days and burundi can only cede its shares to entities within its direct control any change in composition of share capital or powers that have the effect of changing control in smem will need the prior approval of the minister responsible for mines after an opinion from the council of ministers 
11089,ocds-591adf-0290550345,Income tax: rate,stabilization,,,the terms and commercial conditions of this agreement are based on existing tax conditions for the duration of the agreement the licensee will be subject to the tax and customs legislation in force at the time the operating license was granted however any more favorable provision of a new tax law or the most favorable customs system will be extended to the mining title holder who requests it where the operating license holder opts for a more favorable treatment it be must be adopted entirely 
11111,ocds-591adf-0259621498,Income tax: rate,stabilization,,,bhp billiton shall be subject to liberian income tax law of general application bhp billiton shall be subject to the applicable tax rate to taxable income of 30 regardless the rates provided in the tax law 
11354,ocds-591adf-1398905143,Income tax: rate,stabilization,,,the rate of corporate income tax shall be the applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue as may be amended from time to time or substituted in respect of petroleum operations by a petroleum operations taxation law for the kurdistan region but in no event in excess of 40 at the effective date of the contract the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
11475,ocds-591adf-1348839751,Income tax: other,stabilization,,,"the company and its subcontractors shall comply with the applicable taxation laws and regulations of the republic of cyprus as well as with any european union tax rules applicable from time to time in the republic of cyprus 
the agreements for the avoidance of double taxation and the prevention of fiscal evasion with respect to income and capital which the republic of cyprus has concluded and agreed as well as the various international conventions which the republic of cyprus has adopted and or to which it has acceded will also be applicable "
11511,ocds-591adf-1625819385,Governing law,stabilization,,,exploration work and development and exploitation work in the area of interest shall be performed in conformity with the provisions of this contract executed according to the hydrocarbon code and with the laws and regulations of morocco in force on the date of signature 
11576,ocds-591adf-1625819385,Income tax: other,stabilization,,,in accordance with article numericvalue of the code g n ral des imp ts instituted by finance law n numericvalue for the numericvalue financial year promulgated by dahir n 1 06 232 of numericvalue hijja numericvalue 31st december 2006 as amended and completed each of the parties shall calculate and pay the government the corporate income tax utilizing the market prices 
11632,ocds-591adf-1531285830,Other - operational,stabilization,,,the company will avoid wasting natural gas extracted from a field as provided for in law and regulation on the matter before the delivery point concerned it may use that gas as fuel for operations as a source of energy for maximum final recovery of hydrocarbon reserves or confining it in the reservoirs in order to use it for these purposes during the life of the contract 
11669,ocds-591adf-1544398979,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to westernzagros shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
the parties agree that the westernzagros s corporate income tax shall be calculated on its net taxable profit under the contract "
11727,ocds-591adf-1544398979,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract westernzagros its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the government shall indemnify westernzagros upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
11868,ocds-591adf-0771447862,Infrastructure,stabilization,,,"tullow ghana limited kosmos energy ghana hc anadarko wctp company sabre oil gas holdings limited and eo group limited agree that with effect from the effective date the facilities wells and other real property shall be deemed to be unit facilities and the parties holding the existing rights in such property shall be deemed to have transferred their rights therein to the parties collectively in proportion to their unit interests this transfer of rights is subject to the terms of the applicable contract and the laws regulations and is without prejudice to any rights of the government with respect to such property under the terms of either contract or the laws regulations 
each party shall retain its rights to all other facilities wells and other real property and tangible personal property acquired prior to the effective date or through non unit operations and no such property shall be deemed to be unit facilities 
"
12030,ocds-591adf-1195181754,Income tax: rate,stabilization,,,dwm will pay a profit tax of 50 on its share of profit petroleum this rate is fixed for the life of the contract in the unlikely event that the profit tax is increased in spite of existing albanian law the profit sharing percentage will be automatically modified so that dwm receives the same share of profit petroleum as if the profit tax rate had not changed
12154,ocds-591adf-0987434231,Governing law,stabilization,,,the laws of the republic of indonesia shall apply to this contract no term or provision of this contract including the agreement of the parties to submit to arbitration shall prevent or limit the government of the republic of indonesia from exercising its inalienable rights 
12367,ocds-591adf-5325704581,Income tax: rate,stabilization,,,as of the effective date the income tax rate for companies under kurdistan region law is 15 of taxable income 
12539,ocds-591adf-5838470097,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract genel energy international limited genel energy its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the government shall indemnify genel energy upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
12558,ocds-591adf-5838470097,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to genel energy international limited genel energy shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
the parties agree that the genel energy s corporate income tax shall be calculated on its net taxable profit under the contract "
12740,ocds-591adf-4891419551,Income tax: rate,stabilization,,,except for the taxes and duties for which pacific asia petroleum has the statutory obligation to file and pay for the operations each of the companies comprising pacific asia petroleum shall pay taxes measured by income to the government subject to the tax laws and regulations of the people s republic of china applicable to the contract 
12745,ocds-591adf-4891419551,Governing law,stabilization,,,the validity interpretation and implementation of the contract shall be governed by the laws of the people s republic of china failing the relevant provisions of the laws of the people s republic of china for the interpretation or implementation of the contract the principles of the applicable laws widely used in coalbed methane resources countries acceptable to the parties shall be applicable 
12834,ocds-591adf-4909665590,Income tax: exemptions,stabilization,,,operator is subject to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes operator may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge 
13169,ocds-591adf-5024464049,Other - miscellaneous,stabilization,,,the contract shall be subject to periodic review once every five years after the commencement of production for good faith discussions to effect such modifications as may be necessary or desirable in the light of any substantial changes in circumstances which may have occurred during the previous five years 
13217,ocds-591adf-6387856838,Income tax: rate,stabilization,,,during the first numericvalue years of operation the income tax rate applicable to concessionaire shall not exceed numericvalue in case the government comes to amend the revenue code in the future so as to reduce the rate of income tax below numericvalue concessionaire shall be entitled to the benefit of such a change 
13222,ocds-591adf-6387856838,Governing law,stabilization,,,the contract is governed by the laws of the republic of liberia except if otherwise provided in connection with the taxation provisions of the agreement in which case the agreement shall prevail and construed by liberian law as well as generally accepted principles of international law when applicable 
13251,ocds-591adf-6349675951,Income tax: rate,stabilization,,,the tax rate applicable to the company with regard to all taxable income generated by the petroleum operations for the term of this company shall be 35 regardless of whether the rate which would otherwise be applicable from time to time pursuant to the qatar income tax law is higher or lower 
13282,ocds-591adf-6429175624,Hardship clause or force majeure,stabilization,,,"any failure on the part of a party to comply with any of the terms conditions and provisions of the contract except any obligation to make payment of money to the other party will not be grounds for termination or give the other party any claim for damages if the failure arises from force majeure and the party has taken all appropriate precautions due care and reasonable alternative measures with the objective of avoiding such failure and of carrying out is obligations under the contract and has given notice to the other party of the occurrence of force majeure becoming aware of such an event provided that no party has an obligation to settle a labor dispute or to test the constitutionality of any legislation or law 
force majeure means act of war whether declared or undeclared invasion armed conflict act of foreign enemy act of terrorism martial law military or usurped power insurrection revolution civil disturbances blockades riots embargoes strikes lock outs and other labor conflicts sabotage criminal damage land disputes epidemics plague volcanic eruptions earthquakes subsidence heave landslip collapse rock falls storms cyclones floods including flooding of underground mine works explosions including nuclear and the explosion explosions fires lightning methane and other underground gases thereof radioactive or chemical contamination or ionising radiation unless the source or cause of the contamination radiation or other hazardous thing that has been brought onto or near operations by the party claiming force majeure or those employed or engaged by the party claiming force majeure unless it is or was essential for the construction or operation of the facilities non availability of electrical power gas water or other utilities other than due to the negligence or default of konkola copper mines restrictions imposed by the government or other authorities of any country which has jurisdiction either over konkola copper mines or its operations or destruction of damage to or unavailability of materials equipment or supplies and any other event which the party claiming force majeure could not reasonably be expected to prevent or control 
konkola copper mines can at any time notify the government that an economic force majeure event or a material adverse change event has occurred and is continuing konkola copper mines should take all appropriate precautions due care and reasonable alternative measures with the objective of avoiding the service of a notice of a economic force majeure event or a material adverse change event and should take all reasonable measures to overcome such events so far as it is within its reasonable control and to fulfill the terms and conditions of the contract with the minimum of delay "
13306,ocds-591adf-6429175624,Income tax: other,stabilization,,,during the stability period the government shall not increase the rates of tax royalty impose additional taxes or levies on the purchase of electricity water or other utility services or fiscal imposts on the conduct of normal operations amend the vat and corporate tax applicable to konkola copper mines from the existing rate on the effective date 
13452,ocds-591adf-6266688800,Governing law,stabilization,,,the validity interpretation and implementation of the contract shall be governed by the laws of the people s republic of china failing the relevant provisions of the laws of the people s republic of china for the interpretation or implementation of the contract the principles of the applicable laws widely used in petroleum resource countries acceptable to the parties shall be applicable 
13574,ocds-591adf-6598130484,Governing law,stabilization,,,the laws and regulations of the republic of liberia and provisions of international law as are applicable to international oil and gas activities apply to regal liberia limited and european hydrocarbons limited to this contract and to the petroleum operations under this contract 
13599,ocds-591adf-6452502161,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to reliance exploration production shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of numericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations 
the parties agree that reliance exploration petroleum s corporate income tax shall be calculated on its net taxable profit under the contract as calculated in accordance with provisions relating thereto in the accounting procedure "
13605,ocds-591adf-6452502161,Other - miscellaneous,stabilization,,,"the government and any public company which may be a contractor under the contract hereby fully and irrevocably waive any claim to immunity for itself or any of its assets 
this waiver includes any claim to immunity from any expert determination mediation arbitration enforcement of any decision settlement award or judgment or the service of processes 
if it is reasonably proven that this contract was obtained in violation of kurdistan region law relating to corruption the contract shall be void 
also each contractor agree that if at any time it is reasonably proven to be in breach of kurdistan region law concerning corruption the contractor may lose the contract or part of the contract 
this contract may be reviewed by the government and amended to the extent necessary to ensure that with respect to the criteria of probity and the criteria of commerciality which the republic of iraq oil and gas law expressly requires shall apply to all petroleum contracts in all parts of iraq outside the kurdistan region 
a there is no material inconsistency between this contract and such criteria of probity and
b there is no overall material inconsistency between this contract and such criteria of commerciality "
13751,ocds-591adf-5972950624,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law s to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
except as expressly provided and without prejudice to other exemptions provided under the contract for the entire duration of the contract korea national oil its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract 
the government shall indemnify korea national oil upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
13768,ocds-591adf-5972950624,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to korea national oil shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1999 under the kurdistan region as has been amended by law no numericvalue of numericvalue and as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 1numericvalue for all net taxable profits 
the parties agree that the korea national oil s corporate income tax shall be calculated on its net taxable profit under the contract "
13779,ocds-591adf-6005604716,Income tax: rate,stabilization,,,the rate of corporate income tax to be applied to each company entity shall be the applicable rate prescribed in the law of taxation law no numericvalue of numericvalue passed by the parliament of the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations as defined under the kurdistan region petroleum act by a petroleum operations taxation act as defined under the kurdistan region petroleum act 
13847,ocds-591adf-5861877010,Income tax: rate,stabilization,,,albpetrol shall be liable to tax on profit in conformity with law no 7811 dated numericvalue on approval of decree no 782 dated numericvalue on the fiscal system in the hydrocarbons sector exploration production 
14084,ocds-591adf-6070894490,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to heritage energy middle east heritage energy shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
the parties agree that the heritage energy s corporate income tax shall be calculated on its net taxable profit under the contract "
14127,ocds-591adf-6070894490,Income tax: exemptions,stabilization,,,"
the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract heritage energy middle east heritage energy its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the government shall indemnify heritage energy upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
14147,ocds-591adf-6127005758,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract omv petroleum exploration omv its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the government shall indemnify omv upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
14168,ocds-591adf-6127005758,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to omv petroleum exploration omv shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
the parties agree that the omv s corporate income tax shall be calculated on its net taxable profit under the contract "
14198,ocds-591adf-6112091133,Income tax: rate,stabilization,,,dwm petroleum ag s tax fee and payments in respect with petroleum operations shall be regulated through any applicable mongolian laws or any other legal acts whether now existing or later enacted but dwm petroleum ag shall not be obliged to pay any other payments not regulated by any applicable mongolian laws and this contract 
14236,ocds-591adf-3508920677,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to marathon petroleum shall be the generally applicable rate prescribed in the law of taxation under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 15 for all net taxable profits 
the parties agree that marathon petroleum s corporate income tax shall be calculated on its net taxable profit under the contract as calculated in accordance with provisions relating thereto in the accounting procedure "
14584,ocds-591adf-3757991515,Income tax: rate,stabilization,,,"if ivanhoe mines mongolia s annual taxable income is between 0 numericvalue 0 billion togrogs the income tax rate under the corporate income tax law shall be 10 if annual taxable income exceeds numericvalue billion togrogs the income tax shall be numericvalue00 million togrogs plus 25 of the taxable income exceeding numericvalue billion togrogs 
the provisions of this contract shall remain in effect during the term of this contract irrespective of the provisions of taxation laws and regulations ratified after the effective date if a law or regulation enters into force after the date of this contract or an international treaty becomes available to ivanhoe mines mongolia and such law regulation or international treaty contains tax rates that are less than those specified in this contract or which would otherwise have the effect of reducing taxes payable under this contract then ivanhoe mines mongolia may notify the government that it wishes to enjoy the benefit of that law regulation or international treaty in such event 
 the lower rates or reduced tax liability will apply in determining ivanhoe mines mongolia s tax liability under this contract 
 if a later amendment to a law regulation or international treaty changes the rates or tax liability so it is no longer at a lower rate or reduced tax liability ivanhoe mines mongolia shall be returned to the status or position it occupied before it gave notice to the government "
15112,ocds-591adf-3311940054,Income tax: rate,stabilization,,,craton developments inc is subject to liberian income tax law of general application at the rate of 30 
15305,ocds-591adf-4516518284,Governing law,stabilization,,,"the validity interpretation and implementation of the contract shall be governed by the laws of the people s republic of china failing the relevant provisions of the laws of the people s republic of china for the interpretation or implementation of the contract the principles of the applicable laws widely used in the petroleum resources countries acceptable to the parties shall be applicable 
"
15488,ocds-591adf-4624088322,Work and investment commitments,stabilization,,,once putu is issued a mining license it must incur capital expenditures and commence continue and cause to be completed construction acquisition and installation of each proposed mine and all related mining plants infrastructure and equipment as set out in the development plan contained in the approved feasibility report relating to such mining license putu must not make any material changes to the development plan unless it has the minister of lands mines and energy s approval to do so such approval shall not be unreasonably withheld by the minister of lands mines and energy
15539,ocds-591adf-4649532779,Income tax: rate,stabilization,,,murphy and petroquest must pay corporate income tax at the rate set in law of taxation no numericvalue of 1999 as amended by law no numericvalue of numericvalue and as may be amended or substituted in the future the rate of tax paid must not exceed 40 as of the effective date of the contract the rate is 1numericvalue for all net taxable profits 
15606,ocds-591adf-4539146649,Governing law,stabilization,,,"the validity interpretation and implementation of the contract shall be governed by the laws of the people s republic of china failing the relevant provisions of the laws of the people s republic of china for the interpretation or implementation of the contract the principles of the applicable laws widely used in coalbed methane resources countries acceptable to the parties shall be applicable 
"
15623,ocds-591adf-4565806973,Governing law,stabilization,,,the agreement and the rights obligations and duties of the parties will be construed and interpreted in accordance with laws of the united kingdom of great britain with due regard to the laws of the republic that are mandatorily applicable to the operations and parties in particular the minerals and mining law
15676,ocds-591adf-4571322578,Income tax: rate,stabilization,,,dwm is subject to a profit tax of 50 applicable on its share of profit petroleum this rate is fixed for the life of the contract in the unlikely event that the profit tax is increased in spite of existing albanian law the profit sharing percentage will be automatically modified so that dwm will receive the same share of profit petroleum as if the profit tax rate had not changed
16025,ocds-591adf-4380310584,Income tax: rate,stabilization,,,bn munai undertakes to pay all taxes and other obligatory payments acting at the moment of occurrence of such obligations under rates in terms in sizes and the order according to the tax laws of the republic of kazakhstan
16107,ocds-591adf-4270474629,Environmental impact assessment and management plan,stabilization,,,"paladin africa shall comply with 
 a the generally applicable environmental laws of malawi including section numericvalue of the environmental management act 
 b the environmental management plan and 
 c reporting requirements on the implementation of the environmental management plan and any other environmental problems arising as a result of the activities of paladin africa as provided in the environmental management plan 
subject to compliance by paladin africa with the environmental management plan the government will take action in enforcing any applicable environmental laws with the intent of 
 a securing paladin africa s earlier compliance with environmental laws and the timetable and conditions set out in the environmental management plan 
 b imposing fines or penalties upon paladin africa payable under environmental laws or enacting new fines and penalties under those environmental laws which are payable due to non compliance with environmental laws or the timetables for remedying non compliance and 
 c imposing fines or penalties in respect of the paladin africa s breach of existing environmental laws 
the government may propose an amendment to the environmental management plan if 
 a at any time the conduct of normal operations in accordance with such environmental management plan poses a material danger to public health and safety or may result in significant damage to the ecology of the area which was not contemplated in the environmental management plan and is irreversible or only be reversed after the end of the life of mine or 
 b the environmental impact of normal operations shall prove substantially more adverse than anticipated in such environmental management plan or 
 c technology or procedures shall have been available and economic subsequent to the adoption of the environmental management plan and if applied to the operation of the project could materially mitigate the environmental impact of normal operations 
unless by notice of objection to the proposed variation is served on the government by paladin africa the proposed variation shall be deemed to have been agreed to by the parties 
paladin africa 
 a may in consultation with the government amend the environmental management plan from time to time or 
 b shall amend the environmental management plan where either the international atomic energy agency standards for management of the environment as it is affected by mining operations are changed or 
 c shall amend the environmental management plan where either of the environmental laws are changed provided that following such amendment the environmental management plan conforms to specifications and practices established by malawian and international atomic energy agency standards for the management of the environment as it is affected by mining operations in order to reflect changes in operations and other circumstances considered to be appropriate "
16163,ocds-591adf-4299664636,Income tax: rate,stabilization,,,pan china resources shall pay taxes to the governmentsubject to the tax laws and regulations of the people s republic of china
