,OCID,Category,Predicted,CleanText,TextLength
11478,ocds-591adf-6515199615,Other - financial/fiscal,royalties,entityperson avances effectu es titre de pr entitypersoniko et ou ses soci t s affili s repentitypercenteront percentvalue au moins du financement de la premi re entitygpe du projet apr s constitution des r serves pour le bon fonctionnement de la soci t priv e responsabilit limit e et plus tard la soci t par action responsabilit limit e les b n fices seront affect s raison de percentvalue au reentityorg de la dettentitypersonamines l entreprise de moura et des emprunts compl mentairentitypercent capital et des int r ts et de percentvalue la r tribution des partenaires proportionnellemententitypercentparticipentitypeentityorg la soci t soit percentvalue pour g camines et percentvalue pour emiko ,703
11480,ocds-591adf-6515199615,Income tax: other,royalties,toutes taxes cotisations droits redevances et imp ts impos s lev s sur ou mis charge du bien sont int gralement pay s et le bien est libre de toutes charges fiscales au regard des lois de la entityentityperson les taxes et les imp ts sont charge de srm s p r l gentitypersons engagent effectuer aupr s du gouvernement des d marches en vue de l obtention de certains avantages fiscaux et douaniers ,397
11487,ocds-591adf-6484217517,Income tax: other,royalties,similar to entityorg numericvalue revisedentitylaw 39 n which states a stipulatientityorge contractor shall pay fees taxes royalties and other obligations in accordance with existing laws rules and regulations ,210
11525,ocds-591adf-6424799341,Audit mechanisms - financial obligations,royalties,in order to ensure the state can properly discharge its rights to monitor the activities associated with the project it is agreed that the parties will enter into monitoring agreements for blending marketing and treasury a least once in entitydate the royalty is paid the mine project company must engage a reputable international firm of accountants with demonstrated experience in similar projects to conduct an audit of the royalty payments made dentitydatee year at the sole cost of the company it must provide the report of the audit to the state in a timely manner ,571
11535,ocds-591adf-6429175624,Income tax: other,royalties,during the stability period the government shall not increase the rates of tax royalty impose additional taxes or levies on the purchase of electricity water or other utility services or fiscal imposts on the conduct of normal operations amend the entityorg and corporate tax applicabentityorg mines from the existing rate on the effective date ,345
11540,ocds-591adf-6387856838,Other - financial/fiscal,royalties,concessionaire shall make the following payments to the government in addition to royalties and the up front payment i surface rent in the amount of us entitymoney per year foentityorentitydateentitymoneyrs and uentitydaters for the next numericvalue years ii inspection fees on all imports and exports iii regulatory fees in connection with the granting by the governmententitycardinal licenses or peentitymoneentityorgentitydate000 for the mientitymoneentityorg contribution of us dollarvalue for the scientific research fund ,528
11544,ocds-591adf-6387856838,Governing law,stabilization,the contract is governed by the laws of entitygpe except if otherwise provided in connection with the taxation provisions of the agreement in which case the agreement shall prevail and construentitynorpberian law as well as generally accepted principles of international law when applicable ,291
11545,ocds-591adf-6387856838,Confidentiality,royalties,for a entitycardinal period counted as from disclosure all information designated confidential by the parties can not be divulge without the prior consent of the other party confidential information does not include information that was publicly available before disclosure that subsequently becomes publicly known otherwise becomes know to a party other than through disclosure constitutes financial statements submitted to the government is scientific rather than commercial such as geological information related to an area non exploited by the concessionaire has been disclosed pursuant to generally applicable law or any court order the agreement and its amendments thereto however are not confidential no confidentiality related to timing and amount of royalties and other payments due under the terms of the agreement ,825
11572,ocds-591adf-6442097844,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,the net proceeds from production shall be divided as follows from entitycardinentitycarentitentitypeentityorentitypercent entitycardinentitycarentitentitypeentityorentitypercentor form numericvalue tentitycarentitentitypeentityorentitypercentpetroleum boarentityproduct percentvalue to contractor and above numericvalue bopd percentvalue to petroleum board and percentvalue to contractor sec 7 3 a,397
11593,ocds-591adf-6429175624,Hardship clause or force majeure,stabilization,any failure on the part of a party to comply with any of the terms conditions and provisions of the contract except any obligation to make payment of money to the other party will not be grounds for termination or give the other party any claim for damages if the failure arises from force majeure and the party has taken all appropriate precautions due care and reasonable alternative measures with the objective of avoiding such failure and of carrying out is obligations under the contract and has given notice to the other party of the occurrence of force majeure becoming aware of such an event provided that no party has an obligation to settle a labor dispute or to test the constitutionality of any legislation or law force majeure means act of war whether declared or undeclared invasion armed conflict act of foreign enemy act of terrorism martial law military or usurped power insurrection revolution civil disturbances blockades riots embargoes strikes lock outs and other labor conflicts sabotage criminal damage land disputes epidemics plague volcanic eruptions earthquakes subsidence heave landslip collapse rock falls storms cyclones floods including flooding of underground mine works explosions including nuclear and the explosion explosions fires lightning methane and other underground gases thereof radioactive or chemical contamination or ionising radiation unless the source or cause of the contamination radiation or other hazardous thing that has been brought onto or near operations by the party claiming force majeure or those employed or engaged by the party claiming force majeure unless it is or was essential for the construction or operation of the facilities non availability of electrical power gas water or other utilities other than due to the negligence or default of entityorg restrictions imposed by the government or other authorities of any country which has jurisdiction eitherentityorg mines or its operations or destruction of damage to or unavailability of materials equipment or supplies and any other event which the party claiming force majeure could not reasonably be expected to prevent oentityorgcopper mines can at any time notify the government that an economic force majeure event or a material adverse change event has occurred aentityorgnkola copper mines should take all appropriate precautions due care and reasonable alternative measures with the objective of avoiding the service of a notice of a economic force majeure event or a material adverse change event and should take all reasonable measures to overcome such events so far as it is within its reasonable control and to fulfill the terms and conditions of the contract with the minimum of delay ,2713
11597,ocds-591adf-6429175624,Withholding tax,royalties,entityorg should pay withholding tax on dividends royalties and management fees to shareholders or affiliates at a raentitypercent0 and on interest payments to shareholders or their affiliates or any money lender aentitypercent rate of percentvalue,248
11598,ocds-591adf-6429175624,Income tax: exemptions,royalties,the aggregate of the value of customs and excise duty and royalty payable by entityorg if exempt from taxes up to an exteentitymonentitydatee first year followientitymoneyand us 15entitydateer annum for the numericvalue years thereafter ,237
11654,ocds-591adf-5861877010,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",stabilization,albpetrol shall recover all petroleum costs under this contract out of entitypercent the available petroleum after deductinentitypersonpetrol share referred to as cost recovery petroleum to the exteentitydate fiscal year costs and expenses recoverable exceed the value of the cost recoventitydater such fiscal year the excess shall be carried entitydatee succeeding fiscal year or fiscal year s until fully recovered but will in no case be carried forward after the termination of this contract ,495
11657,ocds-591adf-5861877010,Income tax: rate,stabilization,albpetrol shall be liable to tax on profit in conformity with entityperson entitycardinal4 1994 on approvaentityorgecentitycardinal2 dated numericvalue on the fiscal system in the hydrocarbons sector exploration production ,223
11658,ocds-591adf-5861877010,Audit mechanisms - financial obligations,stabilization,at the sole expense and cost of entitentityorgagency shall have the right to inspecentityorgit albpetrol s books of account and accounting records with regard to the petroleum operations but no entitydatee in a fiscal year except as otherwise agreed with operator theentitydateright will centitydateer closure ofentityorgcal year any exception to albpetrol s acentitygperecords shaentitydateated to albpetrol entityorgn form within numericvalue years from the daentitydateetrol hands over its accounting records for such fiscal year otherwise such accounting records shall be deemed to be correct and thereafter may not be subject to objection ,644
11718,ocds-591adf-5972950624,Income tax: exemptions,stabilization,the government intends to present to entityorg region a law s to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to guarantee the stability of the applicable legal fiscal and economic conditions of such projects except as expressly provided and without prejudice to other exemptions provided under the contract for the entire durationentityorgkorea national oil its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the goventityorgmnify korea national oil upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,806
11726,ocds-591adf-5792510988,Company structure,royalties,entitydate reports must include information on ownership of the contractor particularly with respect to nationality this is because the contractor must rementitynorplipino corporatientitypercent than percentvalue entitynorpowned by filipinos ,242
11814,ocds-591adf-5838470097,Income tax: exemptions,stabilization,the government intends to present to the national assembly of the entitygpe region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects for the entire durationentitentityorgal limited genel energy its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract tentityorgt shall indemnify genel energy upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,812
11830,ocds-591adf-6112091133,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,entityorg may reentitypercent40 of contract crude for cost recovery after the deduction of royalty petroleum costs shall be recoveredentityordinaltages first exploration costs then operation costs then development costs ,220
11843,ocds-591adf-6112091133,Local development agreement,royalties,entityorg shall pay to the local authorities within the contract area the sum oentityentitydate00 each year as a local assistance contribution,142
11848,ocds-591adf-6127005758,Income tax: exemptions,stabilization,the government intends to present to entityorg region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects for the entire durationentitentityorggroleum exploration omv its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract tentityorggovernment shall indemnify omv upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,783
11933,ocds-591adf-5995949665,Confidentiality,stabilization,entityperson parties ont conclu un accord de confidentialientitycardinal leentitydatejanvier numericvalue compl t entitycardinalr uentitydateenant le numericvalue f vrier numericvalue relatif aux chang s d informations et l acc s au p rim tre minier de moku i conform ment cet accord tous les rapports ou renseignement obtenus dans el cadre du projet sont traites de mani re confidentielle et aucune partentityquantityles divulguer sans l accord de l autre l exception de la divulgation de renseignement auxentitygpeements de financement aux autorit s gouvernementales ou de renseignements confidentiels qui entrent dans le domaine public sans faute d une partie ,663
11952,ocds-591adf-6005604716,Income tax: rate,stabilization,the rate of corporate income tax to be applied to each company entity shall be the applicable rate prescribed in entitentitypersoentitycardinentitydate law no numericvalue of numericvalue passed bentitygpeliament of the kurdistan region as may be amended from time to time or substituted in respect of petroleum opeentityorgkurdistan region petroentityorg a petroleum operentityorgd under the kurdistan region petroleum act ,424
11962,ocds-591adf-5982022106,Environmental protections,stabilization,entityorg chibco will comply with the generally applicable environmental and safety laws and regulatioentitygpezambia and the environmental plan chibco shall perform the environmental clean up obligations of the environmental plan subject to coentityorgce by chibco with the environmental plan and the environmental clean up obligations the government will noentitydateperiod of numericvalue years take any action under any applicable environmental laws with the ientityorg a securing chibco s compliance with environmental laws other than that envisaged by the timetable and conditions set out in the environmental plan or b requiring chibco s to clean up and or remove any stock of preexisting pollutants or c impentityorgfines or entitywork of artle under environmental laws for non compliance with environmental laws or d ientityorgincreased penalties in respect of chibco s breach of environmental laws in excess of those applying on the effective date in the event of non compliance with the environmental plan or the environmental clean up obligations the government shall be free to take action under applicable environmental laws as it considers appropriate the government may propose an amendment to the environmental plan if a at any time the conduct of normal operations in accordance with the environmental plan for whatever reason poses a material danger to public health and safety or may result in significant damage to the ecology of the area which was not contemplated in the original environmental plan and is irreentitydate or only be reversed after the lapse of numericvalue years or b the environmental impact or normal operations shall prove substantially more adverse than anticipated in the environmental plan or c technology or procedures or improvements thereof shall have been available and economic subsequent to the effective date and if applied to the operation of the facilities could materially mitigate the environment impact of normal operations chibco shall be entitled to amend the environmental clean up obligations provided that it coentitynorpto specifications and practices established by zambian standards for the management of the environment as it is entityorg the principal components of the chibuluma mining lease area affecting rehabilitation decommissioning and closure activities have been identified in the environmental impact stateentityloentitypersonafts buildingentitycardentityorentitycardentitypersoentityorgibulentityfacchibuluma west ore stockpile no numericvalue waste rock dump no numericvalue tailings dams td1 and td2 the old concentrator progressive rehabilitation of old mine workings and monitoring of water and air quality will be undertaken prior to and during mine closure and decommissioning ,2761
11967,ocds-591adf-5982022106,Income tax: other,royalties,the carry forward of losses shall be permitted for a period of entitydate from the date the loss was incurred for the stability period royalties shall be deductible against liability for income tax ,198
11968,ocds-591adf-5982022106,Income tax: rate,royalties,the income tax rate shall be entitypercent howeveentityorges plc obtains aentityorgock exchange entitypeentitydateall be percentvalue from the year of listing ,159
11975,ocds-591adf-5995949665,Bonuses,royalties,ferro entitynorp s engage ventitycarentitymoneys de dollars am ricains au titre de pas de porte portaentitypeentitygpela zone du projet cette somme est la charge de ferro swiss et ne pentitypeentitypercent dette de la soci t communeentitypercent de la somme sera vers e la rdc et percentvalue sokimo,299
11977,ocds-591adf-5995949665,Name and/or composition of the company created,royalties,entityperson constitu e sous la forme de soci t priv e responsabilit limentitypercent35 du capital sera entityorg par sokimo entitypercentuables et percentvalue par ferro swiss ,177
11986,ocds-591adf-6070894490,Income tax: exemptions,stabilization,the government intends to present to entityorg region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects for the entire durationentityorgenergy middle east heritage energy its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the goventityorgndemnify heritage energy upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,789
12070,ocds-591adf-3498737512,"Sacred, cultural, or historical sites",royalties,the contractor shall pay royalties to the indigenous cultural communities for the mining of their ancestral lands at the rate of entitypercent the value of the gross output of minerals sold which amounts shall be incorporatentityentitentitymoneysecs 11 1 i 1 and numericvalue,275
12118,ocds-591adf-3508920677,Income tax: rate,stabilization,the rate of the corporate income tax applicable to entityorg shall be the generally applicable rate prescribed in the law of taxation undeentitygpedistan region as may be amended from time to time or substituted in respect of petroleum operations but it shallentitypercent exceed percentvalue the parties acknowledge and agree that at the effective date the corporate ientitypercentax rate is percentvalue for all net taxable profits entityorghat marathon petroleum s corporate income tax shall be calculated on its net taxable profit under the contract as calculated in accordance with provisions relating thereto in the accounting procedure ,643
12134,ocds-591adf-3525416018,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,entityorg shall be entitled to recover its accumulated costsentitypercent90 of the available hydrocarbons after deduction of the royalties if the costs accumulated before and after commencement of commercial extraction cannot be recoventitydatehin one year then costs not recovered shall be centitydated to the next year and indeed for as long as necessary until all costs have been recovered allentitydateot recovered in oneentitydatear interest for the prior year and the interest amouentitydateadded to the cosentitygper the next year loans taken up from banks shall be excepted from bearing interest ,604
12135,ocds-591adf-3525416018,Income tax: rate,royalties,the total portion of entityorg s profit hydrocarbon shall be taxed at a raentitypercentf percentvalue,101
12136,ocds-591adf-3525416018,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,those quantities of available hydrocarbons which are not used as hydrocarbons costs shall be split up as follows between entityorg and the government governentitypercent entitypercent takt percentvalue,201
12212,ocds-591adf-3498737512,Work and investment commitments,stabilization,the contractor shall begin its exploration activities entitydate after signing of contract following its appentitylawrogram and spending not less than the following aentitycardinaentitydate0 foentitycardinaentitydate14 4entitycardinaentityorg 000 00 for the environmental work program if the contractor spends less or more than these amounts thentitydateexcess shall be centitycardentitycardinalluted into the following year for adjustment secs numericvalue 5 entityorgration phase the contractor entityorgpy furnished the director its declaration of mientitycardinalroject feasibility together with a mining project feasibility study a 3 year development and construction oentityorg entitycardinalomplete geologic report of the area and an environmental compliance certificate sec numericvalue there is no need to apply for suentitycardinaly since the preventitydateapproved survey plan of the contract area is hereby recognized sec numericvalue the contentitydatehas numericvalue yearsentitydatehe exploration phase which is renewable but total numbeentitydate must not exceed numericvalue years subject to the annual review and evaluation of the directoentitydatemount to be spent every year during the extension years entityentitypeentitycardinalne agreed upon by the parties if thentitymoney ended mid year then the contractor shall only spend a pro rated amount for the year sec numericvalue sentityorg5 million for earlier exploration activities it may skip the exploration phase in this contract by submitting its declaration of mining project feasibilitentityorgeentitycardinalhe contractor maentitydategive up any portion of the area no longer needed for mining operations and not covered by its declaration of minentityorgontractor has entityorgof the mine including the construction of production facilities upon submission of its declaration of minientityorgeasibility or issuance of its envientitypeentitycardinaentitydateiance certificate whichever comes later any exteentityorgor justifiable reasons and entitynorpon of the regional director and approval of the director sec numericvalue within numericvalue days before such centitylawthe contractor shall submit to the regional director copy fuentityorghed the directentityorg commercial operaentitycardinalork program upon approventitydatehe contractor shall immediatentitydatecommercial production section numericvalue during the operating phase the contractor shall submit to the denr secretary through the regional director entitycardinalcerned a 3 year work program and budget and every numericvalue years thereafter it must be submitted within numericvalue days from the end ofentitypercentprogram the contractor shall follow this work program and budget for its mining operations and other activities sec numericvalue the contrentitydateay make slight changes to its work program as long as it is within its general objectives entitydateng items by more than percentvalue shall require the approval of the secretary if tentitycardentitycardentitycardinalllgovernment wants to change an item in the work program it shall notify the contractor within numericvalue days from receipt with reasons for such change the parties shall then agree on the changes after numericvalue days from receipt with no notices given the work program is deemed approved secs numericvalue numericvalue numericvalue,3365
12234,ocds-591adf-3492744232,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,petrochad will finance entityorg and will bear all the costs of the execentityorgations including development operation and abandonment centitydateart of crude oil proentitentitypersonontract zones petrochad wentityorgght to recover petroleum costs annentitypercenty as cost oil cost oil will beentityorgydrocarbon production less the royalty tax on production in alentityorgresulting from tentityloccontractual zones ifentitygpevered petroleum costs surpasses theentitydateue of the hydrocarbon quantity that can be used in a calendar year the surplus that cannot be recovered will be postponed to the following years until there is full recoveentityorgires the value ofentitycardinalt oil will be determined by the market field price entitydatelculateentitynorp for every hydrentityproductn grade the order of priority for annual rentityordinaentityordinalf petroleum costs is detailed in art numericvalue in each category costs will be recovered on a first in first out basis ,979
12237,ocds-591adf-3492744232,State participation,royalties,from the allocation of entitentitygpe chad will have the right to require sale ofentitypercentup to percentvalue of the rights and obligations attached to the said license either directly or through a public body intermediary ,226
12253,ocds-591adf-3824268091,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of entitypercent the value of the gross output of minerals entityentityproductec 11 1 j 1,262
12313,ocds-591adf-3896093794,Environmental protections,stabilization,any proposal by the contractor to amend the development plan to provide for sale of natural gas at or downstream of the field export point is to include an environmental management plan covering the life of the project and a plan for securing the safety health and welfare of persons engaged in petroleum activities the contractor is required to submit a decommissioning plan to entityoentitydater numericvalue which includes environmental studies reasonably necessary to support the plan,488
12345,ocds-591adf-3888035061,Income tax: rate,royalties,entityorentitypersonsource shall be required to pay under the conditions and the due dates establientitynorpthe beninese tax legislation all the taxes and duties to which it is subject in particular inentitypercentax equal to percentvalue of the taxable profit and the export reventitypercent at the rate of percentvalue of the free on board value ,348
12390,ocds-591adf-3691607772,Environmental impact assessment and management plan,stabilization,in conducting entityorg and for developmenentityorgtation the parties must comply with rules regulating environmental safety and protection in accordentitycardentitylawthentitypersentitycardinal1 sectioentitypersentitydaentitycarentitypersonaentitydatected by dahir entitypersoentitydate 118 ofentityperson2 1st aprilentitydaentitycardinaled byentitycardinaentitycardinentitygentitydaentitycardinal27 99entityentitydater no1 99 34 of numericvalue kaadaentitypersentitydatebruary 2000entitydate numericvalue and numericvalue of decree no numericvalue of numericvalue joumada i numericvalue 3rd november numericvalue which was amended by the decree no numericvalue of numericvalue hija numericvalue 16th march numericvalue,720
12394,ocds-591adf-3691607772,State participation,royalties,the entityorg retaentitypercentisible percentage intentityorgwhileentitypercent percentvalue indivisible entityorgentagentitypercentvl retains a percentvalue indivisible pentityorgterest development and exploitation work expenses will be funded in proportion with thentityorgties respective interests however onhym will not be required to make its contribution to exentityfacive date of the relevant exploitation concession ,424
12407,ocds-591adf-3757991515,Income tax: exemptions,royalties,tax shall be imposed on the following income of the investor at the following rates dividends shall be taxed at the rate of entitypentityorgincome from royalties shall be taxed at entitypentityorge of percentvalue income from disposal of an immovable property shall entitypercentthe rate of percentvalue income from interest entitypentityorge taxed at the rate of percentvalue income from salentitypercent rights shall be taxed at the rate of percentvalue,455
12408,ocds-591adf-3757991515,Income tax: rate,stabilization,if entityorg annual taxable income is beentitycardinalween numericvalue billion togrogs the income taxentityorgcomeentityperceentitydate shall be percentvalue if entitymoneycome exceeds numericvalue billientitycardinal the incentitypercentx shall be 300entitymoneyf the taxable income exceeding numericvalue billion togrogs the provisions of this contract shall remain in effect during the term of this contract irrespective of the provisions of taxation laws and regulations ratified after the effective date if a law or regulation enters into force after the date of this contentityorgnal treaty becomes available to ivanhoe mines mongolia and such law regulation or international treaty contains tax rates that are less than those specified in this contract or which would otherwise have thentityorgaxes payable under this contract then ivanhoe mines mongolia may notify the government that it wishes to enjoy the benefit of that law regulation or international treaty in such event tentityorgd tax liability will apply inentitycardinalivanhoe mines mongolia s tax liability under this contract if a later amendment to a law regulation or international treaty changes the rates entityorg is no longer at a lower rate or reduced tax liability ivanhoe mines mongolia shall be returned to the status or position it occupied before it gave notice to the government ,1364
12412,ocds-591adf-3757991515,Work and investment commitments,stabilization,entityorg has invested a significant amount of capital in exploring and developing the project as provided in the feasibility sentityorgngolia will make an additional investment of aentitymoneys numericvalue billionentitydate period of numericvalue years the schedule for this planned expenditure is contained in the feasibility study the development of the project may occur in stages as reflected in the feasibility study taking into account market conditions aentityorgf ivanhoe mines mongolia materially changes its proposed sequence for the development of the project it entityorgnment ivanhoe mines mongolentitydatel commence production withinentityorgtion of financing ivanhoe mines mongolia shall submit estimated annual production figures for theentityorgand underground mines if ivanhoe mentitypercent estimates that it will mine and process over percentvalue more than forecast it will obtain the consent from the state authority to proceed ,952
12415,ocds-591adf-3757991515,State participation,royalties,the government shall own entitypercent the common sharentityorgngolia entitydateithin numericvalue year after the agreement is extended have the optionentitypercentn a further percentvalue of the common shares this satisfies all obligations to issuentityorgn ivanhoe mines mongolia to the government ,300
12440,ocds-591adf-3751727488,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of entitypercent the value of the gross output of minerals entityentityproductec 11 1 j 1,262
12501,ocds-591adf-3188330579,Income tax: rate,royalties,en phase d exploitation la soci t d exploitation sera soumise un entityoentitypercente percentvalue,99
12502,ocds-591adf-3188330579,Local employment,royalties,pr f rence au personnel entityorg qualification comp tence et exp rience entityorgoci t s engage galement donner priorit la main d uvre locale pour les emplois ne n cessitant aucune exp rience particuli re la soci t devra atteindre leentitypercentas de percentvalue de locaux pour les cadres et de percentvalue pour les employ s au bout de numericvalue ans apr s l obtention du permis d exploitation ,400
12525,ocds-591adf-3223591068,Income tax: other,royalties,entityoentityperson n gal is subject to corporate taxation as proventityorentityorge and the oil code theentityoentitypersonoci t des p troles du s n gal from all of itsentitygpeerations ientitypercenterritory of senegal are subject to percentvalue tax on corporations calculated on net profits ,295
12547,ocds-591adf-3222702771,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,following the deduction of royalty and costs and expenses from cost recovery petroleum the profit oil profit natural gas being the remaining petroleum in any quarter should be allocated between the parties in each quarter in the following proportions for each development area where the cumulative available crude oil after deduction of the royalty from any development area reaches entitycardentitydate to numericvalue million barrels the government share of the available crude oil from that developmentitypeentityorgis 60 entityperentitycardentitentityquantityhare is percentvalue numericvalue up entitypeentityorgllion entityperentitycardentitycardinal government share is percentvalue andentitypeentityorgs sharentitypercententitycardentitentityquantityo numericvalue barrels entitypeentityorgrnmententitypercentre is percentvalue and dno asa s share is percentvalue and numericvalue up to numericvalue billion barrels the government share is percentvalue and dno asa s share isentitypercentny available nentitypercentgasentityorghether associated or non associated should be allocated between the parties in each quarter with percentvalue for the government and percentvalue for the dno asa ,1197
12594,ocds-591adf-3045742924,Governing law,stabilization,the laws of entitygpe shall apply to this contract no term or provision of this contract including the agreement of the parties to submit to arbitration shall prevent or limit the government from exercising its inalienable rights ,230
12625,ocds-591adf-3173477058,Other - operational,stabilization,joint operations committee entityfaentityorg nocal will form a joint opertions committee joc at the sentityordinalof the first exploration period to review petroleum operations each entitycardinalay appointentityorg to numericvalue members to the joc entityorgless entitydatereed the joc will meet twice a year and quorum fentitycardinaltingentitycardinalwill reqentityorentitycardinalattendanentityentityorgt numericvalue members entityordinalpointed by nocal and numericvalue appoentityordinalby broadway broadway will appoint the first joc chairmentityorg serve until the entityorentityorgal annentityfac of the contract effective date and entityorgsequeentityorg theentityfact the secoentityorgway is reentitydate for costs associated with joc meeentityentitycardinald budget entityentityorgnnual work program and buentityorgmoentitydatethe contract effective date and in subsequent years at least numericvalue months bentityorgheentityorgnning of each yeaentityentityorgrevisions to thentityorgithin numericvalue days of receipt and the parties must meet thereafter to mutually establish a final program wherentitentityfacvisions within numericvalue days the work program is deemed approved the work program is subject to change in cases of entitentityfacge to facilitate free passage and safe navigation in the delimited area broadway must install and maintain requisite sound and optical devices to facilitate free passage and safe navigation in the delimited area broadway must install and maintain requisite sound and optical devices ,1543
12667,ocds-591adf-3319097151,State participation,royalties,le capital de la soci t commune sera compose entitypercent parts d tenueentityorgentitypercent et percentvalue de pentityorgd tenues par okimo entreprise publique ,163
12703,ocds-591adf-3316958152,Name of company executing document,royalties,pirity entityperson and presentityorgy s a president wentitypercenentityorgnterest entitypercentl have an percentvalue interest in the rights and obligations arising from the contract,183
12765,ocds-591adf-3311940054,Income tax: rate,royalties,entityorg is subjeentitynorpberian income tax law of general application at entitypercentrate of percentvalue,109
12766,ocds-591adf-3311940054,Income tax: other,stabilization,entityorg is liable to pay all taxes fees duties excises and other charges imposentitynorpberian laws of general application except if exempted from customs duties and excise taxes by other laws or administrative regulations ,225
12803,ocds-591adf-3232099165,Other - financial/fiscal,royalties,la part d hydrocarbures entitygpe revenant entityquaentitygpeque du congo a l issue des affectations et des partages de fentitycardinentitypersondessus comprend l impo t sur les sentitypercent s calcule au taux de percentvalue sur les reventityorgque entite composant le contracteur provenant desentitypersonte s re alise es en application du contrat,350
12875,ocds-591adf-4426584943,Income tax: rate,royalties,in accordance with the complementary agreement entityorg is subject to income tax and royalties on petroleum operations undertaken under this agreement ,152
12984,ocds-591adf-4380310584,Local employment,royalties,bn munai is liable to give preference to the entitygpe specialists and create jobs during gas production during gas production period to create jobs and eentityorghstani personnel in the following proportions senior mentitypercentss than 90 entitypercentnot less than percentvalue teentitypercentnel not less than percentvalue entitypercentd workers not less than percentvalue,376
12992,ocds-591adf-4380310584,Income tax: rate,royalties,bn munai undertakes to pay all taxes and other obligatory payments acting at the moment of occurrence of such obligations under rates in terms in sizes and the order according to the tax laws of entitygpe,204
12993,ocds-591adf-4380310584,Bonuses,royalties,bn entityperson shall pay a subscription bonus at a rate oentitymoney numericvalue notentitydatealendar days from the date of signing the present contract,154
13019,ocds-591adf-4379373179,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,262
13061,ocds-591adf-4388708715,Other - miscellaneous,royalties,entityorgentitypersentitywork of artifies pid a pour objet de permettre d affecter des fonds a des investissements ou a des engagements financiers destines au de veloppement de l e conomie congolaise ces fonds seront affecte s notamment a la promotion des petites et moyennes entreprises et des peentitygpeoyennes industries et a une aide au financement des projets dentitypersonpromoteurs nationaux le entityoentitypercent pour chaqentitypersonvile a percentvalue deentityperson s de la production nette de la zone de permis ,526
13102,ocds-591adf-4621402481,Work and investment commitments,stabilization,the contractor shall continue commercial operations immediately upon approval and registration of this contract it shall submit to the director through entityorg director concernentitycardinal3 year work program and entitydatevery numericvalue years thereafterentitydateteentitydateend of the previous work program the contractor shall follow this work program and budget for its mining operations and other activities it commits to spend not less than the followingentityentityorentitydateentityorentitydate0 for the 2nd year and p4 512 000 00 for the 3rd year the contractor may make slight changes to its wentitygpeam as lonentitypercentts general objectives lessening the budget by more than percentvalue shall require the approval of the director increasing tentitycardentitycardinallbudget shall require submission of the revised work program secs numericvalue numericvalue,879
13112,ocds-591adf-4565806973,Governing law,stabilization,the agreement and the rights obligations and duties of the parties will be construed and interpreted in accordance with laws of entitylaw with due regard to the laentitygpepublic that are mandatorily applicable to the operations and parties in particular the minerals and mining law,282
